No,Player,Pos,Bat,Thw,Ht,Wt,Age,Exp,Pob,College,Salary
50,Joel Anthony,FC,,,"6' 9""",245,31,6,"Montreal, Quebec",UNLV,"$3,800,000"
52,Chris Babb,SG,,,"6' 5""",225,24,0,"Arlington, Texas",Iowa State,"$490,180"
30,Brandon Bass,,,,"6' 8""",250,28,8,"Baton Rouge, Louisiana",LSU,"$6,450,000"
11,Jerryd Bayless,,,,"6' 3""",200,25,5,"Phoenix, Arizona",Arizona,"$3,135,000"
4,Keith Bogans,GF,,,"6' 5""",215,33,10,"Washington, District of Columbia",Kentucky,"$5,058,198"
0,Avery Bradley,G,,,"6' 2""",180,23,3,"Tacoma, Washington",Texas,"$2,511,432"
38,Vitor Faverani,C,,,"6' 11""",260,25,0,"Porto Alegre, Brazil",,"$2,000,000"
8,Jeff Green,,,,"6' 9""",235,27,6,"Hyattsville, Maryland",Georgetown,"$8,700,000"
43,Kris Humphries,,,,"6' 9""",235,29,9,"Minneapolis, Minnesota",Minnesota,"$12,000,000"
12,Chris Johnson,,,,"6' 6""",201,23,1,"Columbus, Ohio",Dayton,-
41,Kelly Olynyk,C,,,"7' 0""",238,22,0,"Toronto, Ontario",Gonzaga,"$1,986,360"
26,Phil Pressey,PG,,,"5' 11""",175,23,0,"Dallas, Texas",Missouri,"$490,180"
9,Rajon Rondo,PG,,,"6' 1""",186,28,7,"Louisville, Kentucky",Kentucky,"$11,954,545"
7,Jared Sullinger,,,,"6' 9""",260,22,1,"Columbus, Ohio",Ohio State,"$1,365,720"
45,Gerald Wallace,,,,"6' 7""",220,31,12,"Sylacauga, Alabama",Alabama,"$10,105,855"
