No,Player,Pos,Bat,Thw,Ht,Wt,Age,Exp,Pob,College,Salary
0,Bismack Biyombo,C,,,"6' 9""",245,21,2,"Lubumbashi, Congo",None,"$3,049,920"
55,Chris Douglas-Roberts,,,,"6' 7""",210,27,5,"Detroit, Michigan",Memphis,-
41,Justin Hamilton,C,,,"7' 0""",255,23,0,"Newport Beach, California",LSU,"$490,180"
33,Brendan Haywood,C,,,"7' 0""",263,34,12,"New York, New York",North Carolina,"$2,050,000"
9,Gerald Henderson,,,,"6' 5""",215,26,4,"Caldwell, New Jersey",Duke,"$6,000,000"
25,Al Jefferson,,,,"6' 10""",289,29,9,"Monticello, Mississippi",None,"$13,500,000"
14,Michael Kidd-Gilchrist,SF,,,"6' 7""",232,20,1,"Camden, New Jersey",Kentucky,"$4,809,840"
11,Josh McRoberts,,,,"6' 10""",240,27,6,"Indianapolis, Indiana",Duke,"$2,652,000"
12,Gary Neal,G,,,"6' 4""",210,29,3,"Baltimore, Maryland",Towson,"$3,250,000"
5,Jannero Pargo,PG,,,"6' 1""",185,34,11,"Chicago, Illinois",Arkansas,"$884,293"
13,Luke Ridnour,,,,"6' 2""",175,33,10,"Coeur d'Alene, Idaho",Oregon,"$4,320,000"
44,Jeffery Taylor,GF,,,"6' 7""",225,24,1,"Norrkoping, Sweden",Vanderbilt,"$788,872"
43,Anthony Tolliver,F,,,"6' 8""",240,28,5,"Springfield, Missouri",Creighton,"$884,293"
15,Kemba Walker,PG,,,"6' 1""",184,23,2,"Bronx, New York",Connecticut,"$2,568,360"
40,Cody Zeller,,,,"7' 0""",240,21,0,"Washington, Indiana",Indiana,"$3,857,040"
