No,Player,Pos,Bat,Thw,Ht,Wt,Age,Exp,Pob,College,Salary
45,DeJuan Blair,FC,,,"6' 7""",260,24,4,"Pittsburgh, Pennsylvania",Pittsburgh,"$941,000"
8,Jose Calderon,PG,,,"6' 3""",200,32,8,"Villanueva de la Serena, Spain",None,"$6,791,570"
25,Vince Carter,,,,"6' 6""",220,37,15,"Daytona Beach, Florida",North Carolina,"$3,180,000"
9,Jae Crowder,,,,"6' 6""",235,23,1,"Villa Rica, Georgia",Marquette,"$788,872"
1,Samuel Dalembert,C,,,"6' 11""",250,32,12,"Port-au-Prince, Haiti",Seton Hall,"$3,700,748"
21,Wayne Ellington,SG,,,"6' 4""",200,26,4,"Wynnewood, Pennsylvania",North Carolina,"$2,652,000"
11,Monta Ellis,,,,"6' 3""",185,28,8,"Jackson, Mississippi",None,"$8,000,000"
20,Devin Harris,,,,"6' 3""",185,31,9,"Milwaukee, Wisconsin",Wisconsin,"$1,272,279"
5,Bernard James,FC,,,"6' 10""",230,29,1,"Savannah, Georgia",Florida State,"$788,872"
3,Shane Larkin,PG,,,"5' 11""",176,21,0,"Orlando, Florida",Miami (FL),"$1,536,960"
7,Ricky Ledo,SG,,,"6' 7""",200,21,0,"Providence, Rhode Island",Providence,"$544,000"
0,Shawn Marion,,,,"6' 7""",228,35,14,"Waukegan, Illinois",UNLV,"$9,316,796"
33,Gal Mekel,G,,,"6' 3""",202,26,0,"Ramat HaSharon, Israel",Wichita State,"$490,180"
41,Dirk Nowitzki,,,,"7' 0""",245,35,15,"Wurzburg, West Germany",None,"$22,721,381"
34,Brandan Wright,,,,"6' 10""",240,26,6,"Nashville, Tennessee",North Carolina,"$5,000,000"
