No,Player,Pos,Bat,Thw,Ht,Wt,Age,Exp,Pob,College,Salary
40,Harrison Barnes,,,,"6' 8""",222,21,1,"Ames, Iowa",North Carolina,"$2,923,920"
25,Steve Blake,,,,"6' 3""",175,34,10,"Hollywood, Florida",Maryland,"$4,000,000"
12,Andrew Bogut,C,,,"7' 0""",255,29,8,"Melbourne, Victoria",Utah,"$14,000,000"
55,Jordan Crawford,,,,"6' 4""",195,25,3,"Detroit, Michigan",Xavier,"$2,162,419"
30,Stephen Curry,,,,"6' 3""",185,25,4,"Akron, Ohio",Davidson,"$9,887,642"
31,Festus Ezeli,C,,,"6' 11""",255,24,1,"Benin City, Nigeria",Vanderbilt,-
23,Draymond Green,,,,"6' 7""",230,24,1,"Saginaw, Michigan",Michigan State,-
9,Andre Iguodala,,,,"6' 6""",218,30,9,"Springfield, Illinois",Arizona,"$12,868,632"
1,Ognjen Kuzmic,C,,,"7' 1""",251,23,0,"Doboj, Yugoslavia",None,-
10,David Lee,,,,"6' 9""",240,30,8,"St. Louis, Missouri",Florida,"$13,878,000"
8,Nemanja Nedovic,G,,,"6' 3""",192,22,0,"Nova Varos, Yugoslavia",None,"$1,056,720"
7,Jermaine O'Neal,C,,,"6' 11""",262,35,17,"Columbia, South Carolina",None,"$2,000,000"
5,Marreese Speights,FC,,,"6' 10""",271,26,5,"St. Petersburg, Florida",Florida,"$3,500,000"
11,Klay Thompson,,,,"6' 7""",205,24,2,"Los Angeles, California",Washington State,-
