No,Player,Pos,Bat,Thw,Ht,Wt,Age,Exp,Pob,College,Salary
5,Lavoy Allen,,,,"6' 9""",255,25,2,"Morrisville, Pennsylvania",Temple,"$3,120,000"
8,Rasual Butler,,,,"6' 7""",220,34,11,"Philadelphia, Pennsylvania",La Salle,"$1,399,507"
17,Andrew Bynum,C,,,"7' 0""",294,26,8,"Plainsboro, New Jersey",None,"$12,250,000"
22,Chris Copeland,F,,,"6' 8""",235,29,1,"Orange, New Jersey",Colorado,"$3,000,000"
24,Paul George,,,,"6' 9""",225,23,3,"Sun Valley, California",Fresno State,"$3,282,003"
55,Roy Hibbert,C,,,"7' 2""",285,27,5,"Queens, New York",Georgetown,"$14,283,844"
9,Solomon Hill,SF,,,"6' 7""",225,22,0,"Harvey, Illinois",Arizona,"$1,246,680"
3,George Hill,,,,"6' 2""",190,27,5,"Indianapolis, Indiana",IUPUI,"$8,000,000"
28,Ian Mahinmi,C,,,"6' 11""",250,27,6,"Rouen, France",None,"$4,000,000"
4,Luis Scola,,,,"6' 9""",240,33,6,"Buenos Aires, Argentina",None,"$4,500,000"
15,Donald Sloan,G,,,"6' 3""",210,26,2,"Shreveport, Louisiana",Texas A&M,"$884,293"
1,Lance Stephenson,,,,"6' 5""",227,23,3,"Brooklyn, New York",Cincinnati,"$981,349"
12,Evan Turner,,,,"6' 7""",220,25,3,"Chicago, Illinois",Ohio State,-
32,C.J. Watson,PG,,,"6' 2""",180,29,6,"Las Vegas, Nevada",Tennessee,"$2,016,000"
21,David West,PF,,,"6' 9""",255,33,10,"Teaneck, New Jersey",Xavier,-
