No,Player,Pos,Bat,Thw,Ht,Wt,Age,Exp,Pob,College,Salary
6,Kent Bazemore,,,,"6' 5""",201,24,1,"Kelford, North Carolina",Old Dominion,"$788,872"
2,MarShon Brooks,GF,,,"6' 5""",200,25,2,"Long Branch, New Jersey",Providence,"$1,210,080"
24,Kobe Bryant,G,,,"6' 6""",205,35,17,"Philadelphia, Pennsylvania",None,"$30,453,000"
1,Jordan Farmar,PG,,,"6' 2""",180,27,7,"Los Angeles, California",UCLA,"$1,106,942"
16,Pau Gasol,,,,"7' 0""",275,33,12,"Barcelona, Spain",None,"$19,285,850"
7,Xavier Henry,GF,,,"6' 6""",220,22,3,"Ghent, Belgium",Kansas,"$916,099"
27,Jordan Hill,,,,"6' 10""",235,26,4,"Newberry, South Carolina",Arizona,"$3,500,000"
11,Wesley Johnson,,,,"6' 7""",215,26,3,"Corsicana, Texas",Syracuse,"$916,099"
9,Chris Kaman,,,,"7' 0""",265,31,10,"Grand Rapids, Michigan",Central Michigan,"$3,183,000"
4,Ryan Kelly,PF,,,"6' 11""",230,22,0,"Carmel, New York",Duke,"$490,180"
12,Kendall Marshall,PG,,,"6' 4""",195,22,1,"Dumfries, Virginia",North Carolina,"$2,005,560"
20,Jodie Meeks,SG,,,"6' 4""",210,26,4,"Nashville, Tennessee",Kentucky,"$1,550,000"
10,Steve Nash,PG,,,"6' 3""",180,40,17,"Johannesburg, South Africa",Santa Clara,"$9,300,500"
50,Robert Sacre,C,,,"7' 0""",260,24,1,"Baton Rouge, Louisiana",Gonzaga,"$788,873"
0,Nick Young,,,,"6' 7""",210,28,6,"Los Angeles, California",USC,"$1,106,942"
