No,Player,Pos,Bat,Thw,Ht,Wt,Age,Exp,Pob,College,Salary
11,J.J. Barea,PG,,,"6' 0""",178,29,7,"Mayaguez, Puerto Rico",Northeastern,"$4,687,000"
13,Corey Brewer,,,,"6' 9""",185,28,6,"Portland, Tennessee",Florida,"$4,500,000"
10,Chase Budinger,GF,,,"6' 7""",209,25,4,"San Diego, California",Arizona,"$5,000,000"
33,Dante Cunningham,PF,,,"6' 8""",221,26,4,"Clinton, Maryland",Villanova,"$2,180,000"
5,Gorgui Dieng,C,,,"6' 11""",238,24,0,"Kebemer, Senegal",Louisville,"$1,352,640"
6,Robbie Hummel,F,,,"6' 8""",220,25,0,"Valparaiso, Indiana",Purdue,"$490,180"
42,Kevin Love,,,,"6' 10""",243,25,5,"Santa Monica, California",UCLA,"$14,693,906"
23,Kevin Martin,,,,"6' 7""",197,31,9,"Zanesville, Ohio",Western Carolina,"$6,500,000"
12,Luc Richard Mbah a Moute,,,,"6' 8""",230,27,5,"Yaounde, Cameroon",UCLA,"$4,588,384"
15,Shabazz Muhammad,SF,,,"6' 6""",222,21,0,"Las Vegas, Nevada",UCLA,"$1,887,120"
14,Nikola Pekovic,C,,,"6' 11""",285,28,3,"Bijelo Polje, Yugoslavia",None,"$12,100,000"
22,A.J. Price,PG,,,"6' 2""",195,27,4,"Orange, New Jersey",Connecticut,-
9,Ricky Rubio,PG,,,"6' 4""",185,23,2,"El Masnou, Spain",None,"$4,002,120"
1,Alexey Shved,,,,"6' 6""",187,25,1,"Belgorod, USSR",None,"$3,066,667"
32,Ronny Turiaf,FC,,,"6' 10""",241,31,8,"Le Robert, France",Gonzaga,"$1,600,000"
