No,Player,Pos,Bat,Thw,Ht,Wt,Age,Exp,Pob,College,Salary
4,Arron Afflalo,,,,"6' 5""",215,28,6,"Los Angeles, California",UCLA,"$7,562,500"
3,Dewayne Dedmon,C,,,"7' 0""",255,24,0,"Lancaster, California",USC,"$490,180"
21,Maurice Harkless,SF,,,"6' 9""",220,20,1,"Queens, New York",St. John's,"$1,809,840"
12,Tobias Harris,,,,"6' 9""",226,21,2,"Dix Hills, New York",Tennessee,"$1,630,800"
1,Doron Lamb,SG,,,"6' 4""",200,22,1,"Queens, New York",Kentucky,"$788,872"
54,Jason Maxiell,,,,"6' 7""",260,31,8,"Chicago, Illinois",Cincinnati,"$2,500,000"
55,E'Twaun Moore,,,,"6' 4""",191,25,2,"East Chicago, Indiana",Purdue,"$884,293"
14,Jameer Nelson,PG,,,"6' 0""",190,32,9,"Chester, Pennsylvania",St. Joseph's,"$8,600,000"
44,Andrew Nicholson,PF,,,"6' 9""",250,24,1,"Mississauga, Ontario",St. Bonaventure,"$1,482,000"
2,Kyle O'Quinn,FC,,,"6' 10""",240,23,1,"Jamaica, New York",Norfolk State,"$788,872"
5,Victor Oladipo,,,,"6' 4""",215,21,0,"Upper Marlboro, Maryland",Indiana,"$4,763,760"
10,Ronnie Price,G,,,"6' 2""",190,30,8,"Friendswood, Texas",Utah Valley University,"$1,265,977"
8,Adonis Thomas,SF,,,"6' 7""",240,20,0,"Memphis, Tennessee",Memphis,-
