No,Player,Pos,Bat,Thw,Ht,Wt,Age,Exp,Pob,College,Salary
13,Dwight Buycks,,,,"6' 3""",190,25,0,"Milwaukee, Wisconsin",Marquette,"$700,000"
3,Nando De Colo,G,,,"6' 5""",190,26,1,"Sainte-Catherine, France",None,"$1,463,000"
10,DeMar DeRozan,,,,"6' 7""",217,24,4,"Compton, California",USC,"$9,500,000"
2,Landry Fields,GF,,,"6' 7""",214,25,3,"Long Beach, California",Stanford,"$5,225,000"
50,Tyler Hansbrough,,,,"6' 9""",250,28,4,"Poplar Bluff, Missouri",North Carolina,"$3,183,000"
44,Chuck Hayes,,,,"6' 6""",250,30,8,"San Leandro, California",Kentucky,"$5,722,500"
15,Amir Johnson,,,,"6' 9""",237,26,8,"Los Angeles, California",None,"$6,500,000"
7,Kyle Lowry,PG,,,"6' 0""",205,27,7,"Philadelphia, Pennsylvania",Villanova,"$6,210,000"
16,Steve Novak,F,,,"6' 10""",235,30,7,"Libertyville, Illinois",Marquette,"$3,750,001"
54,Patrick Patterson,FC,,,"6' 9""",235,24,3,"Washington, District of Columbia",Kentucky,"$3,105,301"
31,Terrence Ross,,,,"6' 7""",197,23,1,"Portland, Oregon",Washington,"$2,678,640"
25,John Salmons,,,,"6' 6""",207,34,11,"Philadelphia, Pennsylvania",Miami (FL),"$7,580,000"
77,Julyan Stone,GF,,,"6' 6""",196,25,2,"Alexandria, Virginia",UTEP,"$884,293"
17,Jonas Valanciunas,C,,,"7' 0""",257,21,1,"Utena, Lithuania",None,"$3,526,440"
21,Greivis Vasquez,,,,"6' 6""",211,27,3,"Caracas, Venezuela",Maryland,"$2,150,188"
